N,SongName,SongString
90,keeponsinging.mxl,011-1.3333333333333357-1.333333333333335724.66666666666667-33-213-1.3333333333333357-1.333333333333335757.66666666666667-663100-21.33333333333333601.3333333333333357133-113-21.333333333333336-1.3333333333333357-0.666666666666664323.333333333333336-322.5172.5-140-1p0.50-2-2202-23100066-66066-33-330-132-4801634-3486p1-860320-322.534.5-34.5034.5-35.532.5-33011-1.3333333333333357-1.333333333333335790.66666666666667-99-2000623-63.565-32.5-33061-6132
91,motheranddad.mxl,0.5p1p137.5-2-1-133.5-69.5173-69-1020.537.5-2-3-445142-72-108-0.534.533.5-69.5104-102-0.5104.5-7179-113.5034.5-2-2-1-31139-67-99.50.537-2-1-435.5-66166.5-67-99.50.537-2-11-83142-69p1
92,bisschenfrieden.mid,p229.5-29320-3133-33350-3333-32.535.50-35.532.5-3432-2-32.529.5-29320-3133-33350-3333-32.535.50-35.537.5-231.5-7129.5-29320-3133-33350-3333-32.535.50-35.532.5-3432-2-32.529.5-29320-3133-33350-3333-32.535.50-35.537.5-2182.25
93,el_rancho_anonymous.mxl,-24p0.500p0.5-0.50p0.533.5-33p0.51-110.538.5-60p0.5-401-1-0.50.5p1p0.55p0.532p0.5-37p0.51p0.5-11p0.5-14.5p0.530.5-351-1p0.5-1.51.5354-34.525.5-27.52p0.5109.5-74-1-3360-64-223585-78-2-3734p1-34.5p0.5-4.52.52p0.5109.5-74-1-3360-64-221.5118.5-78-2-3734p0.5p2p2
94,blessees.mid,p20.25191.75-169161.5-163.5158.5-179.50.25179.25-179.50.25
95,shalom.mxl,81-6969-6971-7161-6171-71-2p1p167p0.5p0.5-67p1-10p2077-6767-6771-7161-6167p1-67-32p2165p1-67-32.5p0.529.5p1p0.586-7474p1-7478p1-7868-6878-78-43p21p1133p0.5-138-34.522.581-6969-6971-7161-98-0.530.52113-277-75p261-98p0.5-0.5p0.530.52113-285-7967-7175-75-334.5-68.51540
96,ilpostino.mxl,p2p0.51.5-1.5120-118.5-1.52.5-2.5120-118.501-179-80-0.50.53.5-3.5113.5-11400.5-0.576-77-0.50.522.25-41.556.25-2-36.50.521.544.5-42.50.579.5-80116.5p0.5-1261.5-1.5102-100.5-1.51.5-1.5102-100.501-170-70-1-0.54-498p0.5-91.51-1-0.5-4.54.5-4.5118.5p0.5-1141.5-1.5-1-3.53.5-3.5114.5p0.5-111-1-0.5252.5
97,superstring.mid,p0.2523.25-6945.75p0.25128.5p0.25-128.5p0.2523.25-6945.75p0.25128.5
98,greengrassgrows.mid,p0.2523.25-6928.5-139167.5p2-11.25p0.2523.25-6963-6
99,starlight.mxl,10-2-10-2-630-1062-64-22-266-2136-201p1p27310-2-10-210-2-10
100,chatterbox_jerome.mxl,1.529-30.51.529-30.51.529-31.51.5250120-146.51.525-26.51.525-26.51.525-27.5225.50120-1202212-2-180144-1462-22-22-2-10138-172.51.528-29.51.529-30.51.529-31.51.5250120-146.51.525-25.50.525-26.51.525-27.5225.50120
101,amothersprayer.mxl,2.51p0.5p20.5-18.25120.25-103.5-0.5-16.7536-36.75119.5p0.5-1045-19124-106.5-1-16.7536.25-36.25120.25p0.5-1066-19.5125.5-1081-1819.5-19.5129-1111-18.7518.75-621.52.5-134136-175-14.750.536.25-36.25120.25-103.5-17.50.2536-36.75119.5p0.5-10423.5-37.5124-106.5-18.250.536.25-36.25120.25p0.5-10625-38.5125.5-108-17.50.538.75-38.75129-111-180.2518.75-621.52.5-135135p1
102,lady_love.mxl,-2-1-331-58.5178.5-3-140-2-3-530-56176-6-136-2-4121-111-2-6125-114-2-131.5-6710.5187-114-73-0.5-131.5-2-1-331-58.5178.5-3
103,feelings.mxl,-3.5160-54-10610.5-1.53.5-3.5160p2p1-1760.50.25-0.7590.5-88.75-0.5116.75p2p1-1010.5250.5p4-170-80.5100.5-67p0.5-29-1-1-0.50.5112-111p0.5p1p1p2-1-0.5-173.5-90-0.25126.25p1p0.5-108-0.5-1-11249.5p4
104,evangelimann.mid,p20-0.50.537.5-3562-32-32.50-0.50.55-0.5-0.565-31.5-360-10.539.5-33.568-36.5-33.532.5-3430-3067
105,nearyou.mxl,p1-1p177-76-1209-212139-69-69-172-71-1200-20413165-196122211-206-2-13214-22122176-7512-2-4-165-62-177-76-1209-212139-69-69-172-71-1200-204131
106,howdeepisyourlove.mxl,2.5134.5-33.5-233.5-31.5-231.5p1-310.510.5000-1.534.5-33-1.532.5p1p0.5-31.50.51000-1.51.537-37032-35.500110.500036-36.5-132.5p1p0.5-33.504.5036-3601.5-1.52.5035.5-390011.50-1.5-110-1-1.51.5
107,sanfranciscobrewingad.mxl,302-34.5-1.51.5-1.50-1-1.5-2102.5p0.5-991-11.5-0.5-1-1362-14403-301-1-1.50-1-1-1.528120-36-0.5p328.55-33.5
108,alla_rancho.mxl,p0.5p11.500-1035-35.50.5-0.50.50.50.532-361.5-1-0.51.52.537-39.52.50-10-0.565-38.5-28.5238.5-38-0.51.562-37-291.537.5-36.5-1165-38.5-28.5238.5-38-0.51.562-37-291.537.5-36.5-1165
109,gumtree.mxl,00035.5-34.5032.5-33-3-2600039-38.5037.5-44-472-109.510.5-1.599.5-1020.51-131.5-400180
110,diesererde.mid,p2030.52-31p0.501-1p0.531-32p0.5-1.501p0.530.5-30p0.501-1p0.530-30.5p0.5000.5p0.532-31p0.501-1p0.531-32p0.5-1.501p0.530.5-30p0.501-1p0.530-30.5p0.50030.52-31p0.501-1p0.531-32p0.5-1.501p0.530.5-30p0.501-1p0.530-30.5p0.5000.5p0.532-31p0.501-1p0.531-32p0.5-1.51.51p0.529-30p0.52-1-1p0.56072.25
111,mitternachtstango.mid,-58175-68-262120p2-130-58177-68-1182.5p4-123.5-62472-6926763p1-132-265-67168-68-2168.5
112,mygodandi.mxl,18.25-33.513.253436.5-68.518.25-33.532-32.7580-6634-17.5-31.549-2p0.5-3115.5-30.54458-73.75-29.25p282.5-6519.25-34.533-34107.75-59-17-32.5112.5p0.5-9616.75-32163.25-133.5-30.587.5-6919.5-3635.25-36112.75-61-18.75-3487.25-6919.5-3635.25-3680.25-6519.25-34.533-3452.7531.5-62.5-2-2.531.531-62.50-1.574.5-7215.75-33.532-33.2585-6815.5-3230.5-31.75105.250
